JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458845.05208,1.02,,,Vis.,TYGA,,0.15,1.60,THE SKY6.0,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458845.21875,1.34,,,Vis.,DTAA,,HR 1457,HR 1790,K,"""visual observer Tatiana Donchenko, Uzbekistan, UZ, AVSOPLEIONE.""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458845.3,1.1,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458845.3,1.4,,,Vis.,SYU,,12,17,MENTORCHART,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458845.4,1.4,,,Vis.,BNR,,08,16,1990,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458845.40278,1.3,,,Vis.,MFB,,0.86,0.13,x26960JK,Metodo Argelander,,,Z,,,,ALF ORI,UAI,STD,,,,
2458845.40417,1.3,,,Vis.,AJLA,K,1.1,2.2,Stellarium,I used a chart made from Stellarium.,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458845.4167,1.64,,,Vis.,WBOA,,0.84 Aldebaran ,1.64 Bellatrix ,X24963ATG,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458845.42708,1.4,,,Vis.,BVS,K,10,16,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458845.4333,1.3,,,Vis.,SRAB,,9,16,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458845.43958,1.4,,,Vis.,SBN,U,11,22,Stellarium,I use a chart made with Stellarium.,,,Z,,,,ALF ORI,REA,STD,,,,
2458845.50,1.2,,,Vis.,SBEA,,01,16,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458845.56250,1.4,,,Vis.,CBRB,,1.2,1.6,SkySafari,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458845.58333,1.5,,,Vis.,BNBA,,165,,Stellarium,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458845.6090,1.2,,,Vis.,AAX,K,09,11,ATLAS,BSC EXTINCTION USING ALPHA TAU AND ALPHA GEM,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2458845.736,1.3,,,Vis.,FRIB,,11,16,X24962ADH,Matches lowest mag from historical range.,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458845.75000,1.4,,,Vis.,NREA,B,16,17,X24963AIJ,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458845.75000,1.35,,,Vis.,HRBA,K,11,16,NA,Compared to Aldebaran and Castor,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458845.81667,1.2,,,Vis.,SNE,,0.9,1.2,10-star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458845.82986,1.2,,,Vis.,TSAA,,2,16,X24963RV,Also Chart X24963RY,,,Z,,,,BETELGEUSE,,STD,,,,
2458846.00625,1.3,,,Vis.,SANG,,0.9,1.6,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.076,1.5,,,Vis.,PEX,,09,19,10 STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.1611,1.4,,,Vis.,SRX,,0.9,1.6,n/a,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458846.20972,0.9,,,Vis.,MVO,Z,12,,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2458846.2979,1.7,,,Vis.,VFK,K,12,,SELFM,LEIPZIG BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2458846.32986,1.3,,,Vis.,MFB,,0.86,0.13,x26960JK,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458846.34722,1.3,,,Vis.,JBEA,,12,17,10Star,,,,Z,,,,ALF ORI,,STD,,,,
2458846.38958,1.25,,,Vis.,SGQ,,Bet Gem mv=1.16,Gam Ori mv=1.64,Tirion 2000.0/Simbad,"""Roma, Largo S. Lucia Filippini. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.40972,1.4,,,Vis.,BVS,K,10,16,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.43,1.4,,,Vis.,FRF,,12,17,10 Star Tutorial,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458846.46,1.0,,,Vis.,TMAA,,0.1,1.6,X24962ASV,estrella de comparación 0.1 es Rigel.  No está en la carta.,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.5,1.5,,,Vis.,BMU,,NA,,NA,,,,Z,,,,ALF ORI,KNVWS,STD,,,,
2458846.5,1.4,,,Vis.,WPT,,0.8(alf Tau),1.6(gam Ori),Astronomical Almanac,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458846.50208,1.5,,,Vis.,SQL,K,0.9,1.6,citizen science,,,,Z,,,,ALF ORI,ROU,STD,,,,
2458846.5125,1.2,,,Vis.,SRAB,,9,16,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458846.54,1.3,,,Vis.,SBEA,,01,16,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458846.54167,1.4,,,Vis.,BNBA,,165,085,Stellarium,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.58333,1.4,,,Vis.,DJUB,,alpha tau,bellatrix,x24963bnn,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458846.69792,1.5,,,Vis.,SSHA,BU,12,17,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.73611,1.3,,,Vis.,HTN,,12,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458846.8755,3.120,0.003,,B,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44.1N/121.3W|INDEX=BV|DELTA=0.844|K_B_EST=0.33|KK_BV=-0.051|TB_BV=0.062|CREFMAG=5.039|PROG=TJC_PEP_6.6|COMMENT=THIN FOG?;EXTRA SAMPLES|,1,1.34,Z,-3.101,-0.846,,ALF ORI,AAVSO,STD,,,,
2458846.8759,1.318,0.002,,V,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44.1N/121.3W|INDEX=BV|DELTA=0.844|K_V_EST=0.20|TV_BV=-0.045|CREFMAG=4.082|PROG=TJC_PEP_6.6|COMMENT=THIN FOG?;EXTRA SAMPLES|,1,1.34,Z,-3.971,-2.071,,ALF ORI,AAVSO,STD,,,,
2458846.95833,1.41,,,Vis.,TICA,U,085,160,chart not plotted ye,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.2048,1.4,,,Vis.,DNO,,09,16,atlas,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.24318,1.4,,,Vis.,MISB,,03,16,X24412CMT,COMPARED WITH RIGEL 0.3 NOT ON CHART,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458847.27778,1.4,,,Vis.,MFB,,0.86,0.13,x26960JK,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458847.28125,0.5,,,Vis.,HGAB,,01,21,10-star tutorial,,,,T,,,,BETELGEUSE,AAVSO,STD,,,,
2458847.29,1.5,,,Vis.,VOL,,09,16,10star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.2907,1.401,0.013,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.92,Z,1.64,1.814,,ALF ORI,AAVSO,STD,,,,
2458847.2925,1.397,0.015,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.90,Z,1.64,1.803,,ALF ORI,AAVSO,STD,,,,
2458847.29792,1.3,,,Vis.,SDAV,,0.8,1.8,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.3,1.1,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458847.300,1.6,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458847.3247,1.339,0.010,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.62,Z,1.64,1.827,,ALF ORI,AAVSO,STD,,,,
2458847.33333,1.4,,,Vis.,BVS,K,10,16,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.3646,1.3,,,Vis.,ILE,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458847.36944,1.8,,,Vis.,DCMA,,1.6,2.2,X24965K,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.37500,1.3,,,Vis.,KMWA,K,Bellatrix,40 Lyn,Cartes du Ciel,,,,Z,,,,BETELGEUSE,,STD,,,,
2458847.37500,1.25,,,Vis.,SGQ,,Bet Gem mv=1.16,Gam Ori mv=1.64,Tirion2000.0/Simbad,"""Roma, Largo S. Lucia Filippini, naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.38194,1.4,,,Vis.,SDMA,BUW,1.6,1.1,Atlas,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.40,1.6,,,Vis.,MED,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.40625,1.4,,,Vis.,BLP,,16,17,X24970RA,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458847.42222,1.3,,,Vis.,SDAV,,1.8,1.6,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.43,1.6,,,Vis.,MED,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.44097,1.4,,,Vis.,CJEC,,12,17,ten star training pr,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458847.46181,1.35,,,Vis.,PIV,K,114,174,MarSEC chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.503,1.3,,,Vis.,KMR,,,,None,"""A=Aldebaran, B=Castor, C=Pollux; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458847.52,1.3,,,Vis.,SBEA,,01,16,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458847.53472,1.5,0.05,,V,BANC,,24 Ori,46 Ori,X24980OA,,0,,Z,1.6,1.65,,ALF ORI,AAVSO,STD,,,,
2458847.5403,1.2,,,Vis.,AAX,B,09,11,ATLAS,BSC EXTINCTION USING ALPHA TAU AND ALPHA GEM,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2458847.7125,4.839,0.002,,U,KPL,,SAO 112958,SAO 113186,PEP,|SCOPE=10IN_CASS|SENSOR=SSP5|LOC=32.4N/93.9W|INDEX=UB|DELTA=0.000|K_U_EST=0.60|TU_U=0.0|CREFMAG=5.68|PROG=TJC_PEP_6.6|NO TRANSFORM; NO 2ND ORDER EXTINCTION|,0,1.10,Z,-3.513,-0.285,,ALF ORI,AAVSO,STD,,,,
2458847.74306,1.2,,,Vis.,MJHA,B,.9,0.1,Ten Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458847.8,1.2,,,Vis.,RRIA,,1.2,,10 star,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458848.0174,1.4,,,Vis.,SRX,,0.9,1.6,n/a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.2340,1.5,,,Vis.,PEX,,09,19,10 STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.244,1.2,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.2453,1.37,0.01,,TG,SIV,,1,,X24958AUE,all-sky Camera Canon 350D + lens Zenitar 2.8/16 + 0.45x digital high definition super wide angle lens,0,,Z,1.14,,,ALF ORI,,STD,,,,
2458848.25000,1.38,,,Vis.,SIV,,1.6,,X24962AMF,,,,Z,,,,ALF ORI,,STD,,,,
2458848.25000,1.4,,,Vis.,PMB,,0.9,2.1,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.260,1.6,,,Vis.,BNW,,NA,,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458848.27847,1.4,,,Vis.,CMAE,,1.6,,X24980IV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.29167,1.3,,,Vis.,KMWA,K,Pollux,,Cartes du Ciel,,,,Z,,,,BETELGEUSE,,STD,,,,
2458848.29167,1.7,,,Vis.,VRUC,U,000-BBJ-272,000-BBJ-700,X24973AU,,,,Z,,,,BETELGEUSE,,STD,,,,
2458848.29167,1.5,,,Vis.,PMB,,0.9,1.2,10 Star Tutorial ,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.3,1.1,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458848.3,1.5,,,Vis.,BNR,,08,16,1990,,,,V,,,,ALF ORI,AAVSO,STD,,,,
2458848.3,1.3,,,Vis.,GZN,,12,19,10-STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.3,1.5,,,Vis.,SYU,,12,17,MENTORCHART,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458848.3056,0.99,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2458848.31250,1.4,,,Vis.,VVE,,Castor,Polux,Cartes du Ciel,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.31250,1.5,,,Vis.,MPIB,,1.6,0.9,Stellarium 0.12.4,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.31736,1.31,,,Vis.,SGQ,,Bet Gem mv=1.16,Alf Gem mv=1.58,Tirion2000.0/Simbad,"""Ostia, naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.33,1.3,,,Vis.,SBEA,,01,16,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458848.33681,1.4,,,Vis.,BVS,K,10,16,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.3415,1.3,,,Vis.,MJAN,B,12,17,10 STAR TUTORIAL,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458848.34861,1.24,,,Vis.,PIV,,Polluce,Bellatrix,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.3507,1.4,,,Vis.,VFK,,12,16,SELFM,LEIPZIG BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2458848.35417,1.4,,,Vis.,MCKR,,,,375.1,N.E.,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458848.3625,1.1,,,Vis.,SRAB,,9,16,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458848.36875,1.37,,,Vis.,KMIC,,1.2,1.7,10-Star Training ,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.37569,1.6,,,Vis.,DAH,,0.9,1.9,Citizen sky 10-star ,,,,Z,,,,ALF ORI,NAS,STD,,,,
2458848.37778,1.05,,,Vis.,MVO,,04,12,080101,,,,Z,,,,alf Ori,URSA,STD,,,,
2458848.4,1.3,,,Vis.,VDE,,NA,,NA,,,,Z,,,,ALF ORI,KNVWS,STD,,,,
2458848.4,1.4,,,Vis.,BMU,,NA,,NA,,,,Z,,,,ALF ORI,KNVWS,STD,,,,
2458848.41736,1.56,,,Vis.,CVID,K,Bellatrix,,Stellarium,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458848.42361,1.3,,,Vis.,RJG,,12,17,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.42361,1.1,,,Vis.,TCGA,,01,21,aavso beginners,,,,Z,,,,alf Ori,BAA-VSS,STD,,,,
2458848.42500,1.4,,,Vis.,CAI,,12,16,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.43750,1.54,0.025,,TG,LSA,B,41,17,X24974EL,Orion 31122019UTC2230ISO800_60S_G.fit    Teleauto,0,,Z,4.1,1.7,,BETELGEUSE,URSA,STD,,,,
2458848.45513,1.218,0.04,,V,NOT,U,000-BBJ-738,000-BBK-574,X24958AHS,,0,1.31,Z,4.090,3.991,,ALF ORI,BAV,STD,,,,
2458848.48611,1.1,,,Vis.,ACN,K,0.9,1.6,X24974FY,Naked eye ; comp.  stars : Alf Tau (0.9)  & Gam Ori (1.6),,,Z,,,,alf Ori,REA,STD,,,,
2458848.51528,1.4,,,Vis.,DMIB,K,1.0,1.6,Tycho2,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458848.5243,1.336,0.009,,V,BVE,,SAO 112958,SAO 113186,PEP,| SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TV_BV=-0.036 | K_V_EST=0.25 | DELTA=0.878 | CREFMAG=4.082 | PROG=PEP_BV_V1.7.XLS |,1,1.51,Z,-3.457,-1.537,,ALF ORI,KNVWS,STD,,,,
2458848.5245,3.171,0.005,,B,BVE,,SAO 112958,SAO 113186,PEP,| SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TB_BV=0.111 | K_B_EST=0.38 | KK_BV=-0.069 | DELTA=0.878 | CREFMAG=5.039 | PROG=PEP_BV_V1.7.XLS |,1,1.52,Z,-2.341,-0.120,,ALF ORI,KNVWS,STD,,,,
2458848.54167,1.3,,,Vis.,BNBA,,085,165,Stellarium,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.54167,1.2,,,Vis.,RRIA,,1.2,,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.55208,1.2,,,Vis.,REE,,0.4,1.7,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.5549,1.2,,,Vis.,AAX,K,09,20,ATLAS,BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2458848.58333,1.4,,,Vis.,MESB,,0.9,1.6,10 Star,,,,Z,,,,ALF ORI,URSA,STD,,,,
2458848.60972,1.4,,,Vis.,FRTA,,09,17,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.69514,1.4,,,Vis.,MCOA,,12,17,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458848.7021,4.843,0.001,,U,KPL,,SAO 112958,SAO 113186,PEP,|SCOPE=10IN_CASS|SENSOR=SSP5|LOC=32.4N/93.9W|INDEX=UB|DELTA=0.000|K_U=0.63|TU_U=0.0|CREFMAG=5.68|PROG=TJC_PEP_6.6|NO TRANSFORM; NO 2ND ORDER EXTINCTION|,0,1.11,Z,-3.508,-0.310,,ALF ORI,AAVSO,STD,,,,
2458849.06250,1.4,,,Vis.,SANG,,0.9,1.6,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.12153,1.4,,,Vis.,PEX,,09,19,10 Star Tutorial,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458849.20139,1.31,,,Vis.,DTAA,,HR 1457,HR 1790,K,"""visual observer Tatiana Donchenko, Uzbekistan, UZ, AVSOPLEIONE.""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458849.2833,1.4,,,Vis.,BHS,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.3,1.2,,,Vis.,PPS,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458849.3125,1.4,,,Vis.,UAN,,09,17,10-STAR TUTORIAL,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458849.3152,1.4,,,Vis.,DNO,,09,16,X24963AZS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.33264,1.36,,,Vis.,DTAA,,HR 1457,HR 1790,K,"""visual observer Tatiana Donchenko, Uzbekistan, UZ, AVSOPLEIONE.""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458849.34306,1.5,,,Vis.,DCMA,KZ,2.0,1.6,X24965K,I use a chart created on the skysafary app.,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458849.39,1.4,,,Vis.,KSZ,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458849.40,1.3,,,Vis.,KTZ,,12,19,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2458849.40625,1.3,,,Vis.,BVS,K,10,16,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.4131,1.363,0.007,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.804,,ALF ORI,AAVSO,STD,,,,
2458849.4162,1.362,0.007,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.808,,ALF ORI,AAVSO,STD,,,,
2458849.41736,1.38,,,Vis.,PIV,,Polluce,Bellatrix,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.42,1.5,,,Vis.,VOL,,09,16,10star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.44,1.5,,,Vis.,SYU,,12,17,MENTORCHART,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458849.45486,1.3,,,Vis.,BLP,,16,17,X24997GJ,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458849.47917,1.31,,,Vis.,SGQ,,Bet Gem mv=1.16,Alf Gem mv=1.58,Tirion2000.0/Simbad,"""Ostia, Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.542,1.4,,,Vis.,TJP,,,,AAVSO X25059VM,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458849.58,1.5,,,Vis.,SYU,,12,17,MENTORCHART,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458849.59931,1.3,,,Vis.,HMQ,,09,12,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.60764,1.4,,,Vis.,SDN,B,16,20,X25004SO,Waxing crescent moon in the SW sky,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458849.61250,1.6,,,Vis.,BBA,UB,1.2,1.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.64583,1.3,,,Vis.,RRIA,,1.2,,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.66174,-1.217,0.010,,I,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.66516,3.021,0.010,,B,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.66667,1.4,,,Vis.,HTN,,12,19,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.66667,1.4,,,Vis.,PRUA,,1.6,1.7,X24958DVL,Unaided Eye Observation,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458849.668,1.4,,,Vis.,FRIB,,11,16,X24962ADH,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458849.67066,1.410,0.008,,V,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.67734,0.300,0.014,,R,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.68472,0.9,,,Vis.,SBIB,,0.7,1.7,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.74028,1.2,,,Vis.,SNE,,12,17,10-star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.84028,1.8,,,Vis.,BBA,UB,1.2,1.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458849.9944,1.4,,,Vis.,SRX,,0.9,1.6,n/a,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458850.15903,1.46,,,Vis.,MAEA,,0.8,1.6,X24958AKI,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.2132,1.4,,,Vis.,DNO,,09,16,X24963AZS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.22153,1.35,,,Vis.,DTAA,,HR 1457,HR 1790,K,"""visual observer Tatiana Donchenko, Uzbekistan, UZ, AVSOPLEIONE.""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458850.225,1.4,,,Vis.,KMM,,0.85,1.64,X24958LK,,,,Z,,,,alf Ori,UAG,STD,,,,
2458850.22639,1.32,,,Vis.,DTAA,,HR 1457,HR 1790,K,"""visual observer Tatiana Donchenko, Uzbekistan, UZ, AVSOPLEIONE.""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458850.2500,1.4,,,Vis.,PEX,,09,19,10 STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.26736,1.4,,,Vis.,MFB,,0.86,0.13,x26960JK,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458850.284,1.3,,,Vis.,JDAA,,0.18,1.64,SkyCharts (CdC),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.29,1.3,,,Vis.,SBEA,,09,19,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458850.29167,1.2,,,Vis.,KMWA,K,Pollux,,Cartes du Ciel,,,,Z,,,,BETELGEUSE,,STD,,,,
2458850.2949,1.473,0.018,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.79,Z,1.64,,,ALF ORI,AAVSO,STD,,,,
2458850.2979,1.4,,,Vis.,VFK,K,12,16,SELFM,LEIPZIG BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2458850.3,1.1,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458850.32153,1.3,,,Vis.,CSZ,,0.9,1.6,SkySafari,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458850.33,1.5,,,Vis.,VOL,,09,16,10star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.33333,1.4,,,Vis.,MVH,,0.9,1.6,Aldebaran 0.9 - Bell,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.3462,1.407,0.014,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.46,Z,1.64,1.833,,ALF ORI,AAVSO,STD,,,,
2458850.36111,1.21,,,Vis.,AJAC,,1.1 (Beta Gem),1.6 (Gamma Ori),Star Chart for alpha,Argelander Method,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458850.37500,1.3,,,Vis.,BNBA,,085,165,Stellarium,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.37500,1.23,,,Vis.,SGQ,,Bet Gem mv=1.16,Alf Gem mv=1.58,Tirion2000.0/Simbad,"""Roma, Argentina. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.38542,1.3,,,Vis.,AJV,,0.9 ,1.6,standard,aldebaran 0.87; bellatrix 1.64,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458850.38889,1.4,,,Vis.,GPIA,,08,16,X24928PS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.4,1.5,,,Vis.,SYU,,12,17,MENTORCHART,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458850.42708,1.35,,,Vis.,PIV,,Bellatrix,Pollux,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458850.4972,1.6,,,Vis.,HGUA,,"""09,19""",,10STARTUTORIAL,THROUGH CLOUDS.,,,Z,,,,ALF ORI,SAAF,STD,,,,
